Question,Design,Criterion
Q1,Kitchen Utensil Grip,Lightweight
Q2,Kitchen Utensil Grip,Resistant to Heat
Q3,Kitchen Utensil Grip,Corrosion Resistant
Q4,Kitchen Utensil Grip,High Strength
Q5,Spacecraft Component,Lightweight
Q6,Spacecraft Component,Resistant to Heat
Q7,Spacecraft Component,Corrosion Resistant
Q8,Spacecraft Component,High Strength
Q9,Underwater Component,Lightweight
Q10,Underwater Component,Resistant to Heat
Q11,Underwater Component,Corrosion Resistant
Q12,Underwater Component,High Strength
Q13,Safety Helmet,Lightweight
Q14,Safety Helmet,Resistant to Heat
Q15,Safety Helmet,Corrosion Resistant
Q16,Safety Helmet,High Strength
